Date,Close,%Change,,,,,
2013-12-31,1848.359985,,,,,,
2014-01-02,1831.97998,-0.8861912795,,,,,
2014-01-03,1831.369995,-0.0332964883,,,,,
2014-01-06,1826.77002,-0.2511767154,,3daysago,2daysago,1dayago,current
2014-01-07,1837.880005,0.6081764469,,-0.8861912795,-0.0332964883,-0.2511767154,0.6081764469
2014-01-08,1837.48999,-0.0212209175,,-0.0332964883,-0.2511767154,0.6081764469,-0.0212209175
2014-01-09,1838.130005,0.034830938,,-0.2511767154,0.6081764469,-0.0212209175,0.034830938
2014-01-10,1842.369995,0.2306686681,,0.6081764469,-0.0212209175,0.034830938,0.2306686681
2014-01-13,1819.199951,-1.2576216538,,-0.0212209175,0.034830938,0.2306686681,-1.2576216538
2014-01-14,1838.880005,1.0817971927,,0.034830938,0.2306686681,-1.2576216538,1.0817971927
2014-01-15,1848.380005,0.51661881,,0.2306686681,-1.2576216538,1.0817971927,0.51661881
2014-01-16,1845.890015,-0.1347120177,,-1.2576216538,1.0817971927,0.51661881,-0.1347120177
2014-01-17,1838.699951,-0.3895174654,,1.0817971927,0.51661881,-0.1347120177,-0.3895174654
2014-01-21,1843.800049,0.2773752181,,0.51661881,-0.1347120177,-0.3895174654,0.2773752181
2014-01-22,1844.859985,0.0574864938,,-0.1347120177,-0.3895174654,0.2773752181,0.0574864938
2014-01-23,1828.459961,-0.8889576517,,-0.3895174654,0.2773752181,0.0574864938,-0.8889576517
2014-01-24,1790.290039,-2.0875448637,,0.2773752181,0.0574864938,-0.8889576517,-2.0875448637
2014-01-27,1781.560059,-0.4876293679,,0.0574864938,-0.8889576517,-2.0875448637,-0.4876293679
2014-01-28,1792.5,0.6140652371,,-0.8889576517,-2.0875448637,-0.4876293679,0.6140652371
2014-01-29,1774.199951,-1.0209232357,,-2.0875448637,-0.4876293679,0.6140652371,-1.0209232357
2014-01-30,1794.189941,1.1267044613,,-0.4876293679,0.6140652371,-1.0209232357,1.1267044613
2014-01-31,1782.589966,-0.6465299317,,0.6140652371,-1.0209232357,1.1267044613,-0.6465299317
2014-02-03,1741.890015,-2.2831919721,,-1.0209232357,1.1267044613,-0.6465299317,-2.2831919721
2014-02-04,1755.199951,0.7641088637,,1.1267044613,-0.6465299317,-2.2831919721,0.7641088637
2014-02-05,1751.640015,-0.2028222481,,-0.6465299317,-2.2831919721,0.7641088637,-0.2028222481
2014-02-06,1773.430054,1.2439792887,,-2.2831919721,0.7641088637,-0.2028222481,1.2439792887
2014-02-07,1797.02002,1.3301886898,,0.7641088637,-0.2028222481,1.2439792887,1.3301886898
2014-02-10,1799.839966,0.1569234604,,-0.2028222481,1.2439792887,1.3301886898,0.1569234604
2014-02-11,1819.75,1.1062113508,,1.2439792887,1.3301886898,0.1569234604,1.1062113508
2014-02-12,1819.26001,-0.0269262261,,1.3301886898,0.1569234604,1.1062113508,-0.0269262261
2014-02-13,1829.829956,0.5810024923,,0.1569234604,1.1062113508,-0.0269262261,0.5810024923
2014-02-14,1838.630005,0.4809216819,,1.1062113508,-0.0269262261,0.5810024923,0.4809216819
2014-02-18,1840.76001,0.1158473969,,-0.0269262261,0.5810024923,0.4809216819,0.1158473969
2014-02-19,1828.75,-0.6524484417,,0.5810024923,0.4809216819,0.1158473969,-0.6524484417
2014-02-20,1839.780029,0.60314581,,0.4809216819,0.1158473969,-0.6524484417,0.60314581
2014-02-21,1836.25,-0.1918723404,,0.1158473969,-0.6524484417,0.60314581,-0.1918723404
2014-02-24,1847.609985,0.6186513274,,-0.6524484417,0.60314581,-0.1918723404,0.6186513274
2014-02-25,1845.119995,-0.134768161,,0.60314581,-0.1918723404,0.6186513274,-0.134768161
2014-02-26,1845.160034,0.0021699944,,-0.1918723404,0.6186513274,-0.134768161,0.0021699944
2014-02-27,1854.290039,0.4948083002,,0.6186513274,-0.134768161,0.0021699944,0.4948083002
2014-02-28,1859.449951,0.2782688733,,-0.134768161,0.0021699944,0.4948083002,0.2782688733
